issn,journal_title,issn_cr,Source title,Source type,ASJC field IDs,Year,Citing source,P,IPP,IPP (lower bound),IPP (upper bound),SNIP.x,SNIP (lower bound),SNIP (upper bound),% self cit,issn_type,year_founded,year_OA_initiated,year_reverse_flipped,OA_content_still_OA,journal_location,prev. publisher,journal_name,publisher,oa_model,apc_pre,apc_post,apc_now,evidence,evidence_II,evidence_III,Comment,Discipline,SNIP.y,najko,mikael,included in OAD,X__1,Has been a subscription journal before OA?,Founded before 1985? (Assumed to have been subscr. based if founded before that),Link evidence of subscription-based past,Link evidence of born oa-based past,Flipped OA,Born OA,id
2190-5738,3 Biotech,2190-5738,3 Biotech,Journal,1101; 1305; 2301,2015,0,10,0.3,0,0.6,0.1189251948952,0,0.265189873417721,0,Electronic ISSN,2011,2011,2017,Yes,Saudi Arabia,co King Abdulaziz City of Science and Technology (KACST),3 Biotech,Springer Nature,Hybrid,0.0,3000.0,3000.0,Springer Nature OA List,DOAJ Check,OAD,NA,LS,NA,NA,NA,yes,NA,NA,0,NA,https://web.archive.org/web/20100815071733/http://www.springer.com:80/chemistry/biotechnology/journal/13205,0,1,2190-5738
2190-5738,3 Biotech,2190-5738,3 Biotech,Journal,1101; 1305; 2301,2016,0,120,1.725,1.3,2.18333333333333,1.19949141665348,0.853504219585451,1.5629847060899,0,Electronic ISSN,2011,2011,2017,Yes,Saudi Arabia,co King Abdulaziz City of Science and Technology (KACST),3 Biotech,Springer Nature,Hybrid,0.0,3000.0,3000.0,Springer Nature OA List,DOAJ Check,OAD,NA,LS,NA,NA,NA,yes,NA,NA,0,NA,https://web.archive.org/web/20100815071733/http://www.springer.com:80/chemistry/biotechnology/journal/13205,0,1,2190-5738
2190-5738,3 Biotech,2190-5738,3 Biotech,Journal,1101; 1305; 2301,2017,1,376,1.97872340425532,1.68351063829787,2.29255319148936,1.03278791344374,0.878622272390787,1.19040654869637,0.139784946236559,Electronic ISSN,2011,2011,2017,Yes,Saudi Arabia,co King Abdulaziz City of Science and Technology (KACST),3 Biotech,Springer Nature,Hybrid,0.0,3000.0,3000.0,Springer Nature OA List,DOAJ Check,OAD,NA,LS,NA,NA,NA,yes,NA,NA,0,NA,https://web.archive.org/web/20100815071733/http://www.springer.com:80/chemistry/biotechnology/journal/13205,0,1,2190-5738
2190-5738,3 Biotech,2190-572X,3 Biotech,Journal,1101; 1305; 2301,2015,0,10,0.3,0,0.6,0.1189251948952,0,0.265189873417721,0,Print ISSN,2011,2011,2017,Yes,Saudi Arabia,co King Abdulaziz City of Science and Technology (KACST),3 Biotech,Springer Nature,Hybrid,0.0,3000.0,3000.0,Springer Nature OA List,DOAJ Check,OAD,NA,LS,NA,NA,NA,yes,NA,NA,0,NA,https://web.archive.org/web/20100815071733/http://www.springer.com:80/chemistry/biotechnology/journal/13205,0,1,2190-5738
2190-5738,3 Biotech,2190-572X,3 Biotech,Journal,1101; 1305; 2301,2016,0,120,1.725,1.3,2.18333333333333,1.19949141665348,0.853504219585451,1.5629847060899,0,Print ISSN,2011,2011,2017,Yes,Saudi Arabia,co King Abdulaziz City of Science and Technology (KACST),3 Biotech,Springer Nature,Hybrid,0.0,3000.0,3000.0,Springer Nature OA List,DOAJ Check,OAD,NA,LS,NA,NA,NA,yes,NA,NA,0,NA,https://web.archive.org/web/20100815071733/http://www.springer.com:80/chemistry/biotechnology/journal/13205,0,1,2190-5738
2190-5738,3 Biotech,2190-572X,3 Biotech,Journal,1101; 1305; 2301,2017,1,376,1.97872340425532,1.68351063829787,2.29255319148936,1.03278791344374,0.878622272390787,1.19040654869637,0.139784946236559,Print ISSN,2011,2011,2017,Yes,Saudi Arabia,co King Abdulaziz City of Science and Technology (KACST),3 Biotech,Springer Nature,Hybrid,0.0,3000.0,3000.0,Springer Nature OA List,DOAJ Check,OAD,NA,LS,NA,NA,NA,yes,NA,NA,0,NA,https://web.archive.org/web/20100815071733/http://www.springer.com:80/chemistry/biotechnology/journal/13205,0,1,2190-5738
1012-8255,Academia Revista Latinoamericana de Administración,1012-8255,Academia Revista Latinoamericana de Administracion,Journal,1408; 3304; 3321,2009,0,13,0,0,0,0,0,0,0,Print ISSN,1988,NA,2016,NA,Peru,Consejo Latinoamericano de Escuelas de Administración,Academia Revista Latinoamericana de Administracion,Emerald,Hybrid,0.0,1595.0,2950.0,Scopus 2014-2018 Check,Manual Check,NA,NA,SSH,NA,NA,NA,NA,NA,NA,0,https://web.archive.org/web/20181211085848/https://www.redalyc.org/revista.oa?id=716 (seems to have joined Redalyc in 1999),NA,1,0,1012-8255
1012-8255,Academia Revista Latinoamericana de Administración,1012-8255,Academia Revista Latinoamericana de Administracion,Journal,1408; 3304; 3321,2010,0,28,0,0,0,0,0,0,0,Print ISSN,1988,NA,2016,NA,Peru,Consejo Latinoamericano de Escuelas de Administración,Academia Revista Latinoamericana de Administracion,Emerald,Hybrid,0.0,1595.0,2950.0,Scopus 2014-2018 Check,Manual Check,NA,NA,SSH,NA,NA,NA,NA,NA,NA,0,https://web.archive.org/web/20181211085848/https://www.redalyc.org/revista.oa?id=716 (seems to have joined Redalyc in 1999),NA,1,0,1012-8255
1012-8255,Academia Revista Latinoamericana de Administración,1012-8255,Academia Revista Latinoamericana de Administracion,Journal,1408; 3304; 3321,2011,1,43,0.13953488372093,0.0465116279069767,0.255813953488372,0.103899591330742,0.0278558650651674,0.201982567106496,0.166666666666667,Print ISSN,1988,NA,2016,NA,Peru,Consejo Latinoamericano de Escuelas de Administración,Academia Revista Latinoamericana de Administracion,Emerald,Hybrid,0.0,1595.0,2950.0,Scopus 2014-2018 Check,Manual Check,NA,NA,SSH,NA,NA,NA,NA,NA,NA,0,https://web.archive.org/web/20181211085848/https://www.redalyc.org/revista.oa?id=716 (seems to have joined Redalyc in 1999),NA,1,0,1012-8255
1012-8255,Academia Revista Latinoamericana de Administración,1012-8255,Academia Revista Latinoamericana de Administracion,Journal,1408; 3304; 3321,2012,1,49,0.244897959183673,0.142857142857143,0.36734693877551,0.236127175505393,0.105201958276131,0.394043155961614,0.25,Print ISSN,1988,NA,2016,NA,Peru,Consejo Latinoamericano de Escuelas de Administración,Academia Revista Latinoamericana de Administracion,Emerald,Hybrid,0.0,1595.0,2950.0,Scopus 2014-2018 Check,Manual Check,NA,NA,SSH,NA,NA,NA,NA,NA,NA,0,https://web.archive.org/web/20181211085848/https://www.redalyc.org/revista.oa?id=716 (seems to have joined Redalyc in 1999),NA,1,0,1012-8255
1012-8255,Academia Revista Latinoamericana de Administración,1012-8255,Academia Revista Latinoamericana de Administracion,Journal,1408; 3304; 3321,2013,1,56,0.232142857142857,0.0892857142857143,0.392857142857143,0.302908358308988,0.101267212808937,0.564109863197796,0.0769230769230769,Print ISSN,1988,NA,2016,NA,Peru,Consejo Latinoamericano de Escuelas de Administración,Academia Revista Latinoamericana de Administracion,Emerald,Hybrid,0.0,1595.0,2950.0,Scopus 2014-2018 Check,Manual Check,NA,NA,SSH,NA,NA,NA,NA,NA,NA,0,https://web.archive.org/web/20181211085848/https://www.redalyc.org/revista.oa?id=716 (seems to have joined Redalyc in 1999),NA,1,0,1012-8255
1012-8255,Academia Revista Latinoamericana de Administración,1012-8255,Academia Revista Latinoamericana de Administracion,Journal,1408; 3304; 3321,2014,1,51,0.411764705882353,0.176470588235294,0.705882352941177,0.319230481272632,0.107270463583884,0.58635040476419,0.19047619047619,Print ISSN,1988,NA,2016,NA,Peru,Consejo Latinoamericano de Escuelas de Administración,Academia Revista Latinoamericana de Administracion,Emerald,Hybrid,0.0,1595.0,2950.0,Scopus 2014-2018 Check,Manual Check,NA,NA,SSH,NA,NA,NA,NA,NA,NA,0,https://web.archive.org/web/20181211085848/https://www.redalyc.org/revista.oa?id=716 (seems to have joined Redalyc in 1999),NA,1,0,1012-8255
