issn,journal_name,relation,apc_pre_,apc_now_
2190-5738,3 Biotech,Institutional,0,3000
1012-8255,Academia Revista Latinoamericana de Administracion,Institutional,0,2950
1895-7455,Acta Geophysica,Institutional,0,3000
1896-1126,Advances in Medical Sciences,Institutional,0,1200
1872-5457,African Diaspora,No relation,1360,1600
0002-7014,Ameghiniana,Society,0,300
2008-8752,Annals of Functional Analysis,Institutional,0,1000
0914-7187,Annals of Nuclear Medicine,Society,0,3000
2190-5517,Applied Nanoscience,Institutional,0,3000
0253-6269,Archives of Pharmacal Research,Society,0,3000
1735-8787,Banach Journal of Mathematical Analysis,Institutional,0,1000
1559-4106,Biointerphases,Society,1045,1085
0103-9733,Brazilian Journal of Physics,Society,0,3000
1759-3077,Bulletin of Italian Politics,Institutional,0,2950
0253-2964,Bulletin of the Korean Chemical Society,Society,600,2500
0846-5371,Canadian Association of Radiologists Journal,Society,0,1700
0823-2105,Canadian bulletin of medical history = Bulletin canadien dhistoire de la medecine,Society,0,3000
1499-2671,Canadian Journal of Diabetes,Society,0,3300
0706-7437,Canadian Journal of Psychiatry,Society,0,1500
2213-0896,Cancer Treatment Communications,No relation,600,650
0577-9073,Chinese Journal of Physics,Society,0,1500
1861-9541,Chinese Science Bulletin,Institutional,0,2500
2215-0382,Colloid and Interface Science Communications,No relation,750,1500
1807-0302,Computational and Applied Mathematics,Society,0,3000
2352-2143,Computational Condensed Matter,No relation,750,1000
1467-3037,Current Issues in Molecular Biology,No relation,1350,1375
2008-2231,DARU Journal of Pharmaceutical Sciences,Institutional,1046,3000
0313-5926,Economic Analysis and Policy,Institutional,0,1800
1387-3091,Electronic Journal of Comparative Law,Institutional,0,2395
2215-1532,"Environmental Nanotechnology, Monitoring and Management",No relation,900,1950
1878-5085,EPMA Journal,Society,2240,3000
2190-7579,Gold Bulletin,No relation,0,3000
2047-2501,Health Information Science and Systems,No relation,2145,3000
1210-3055,Human Affairs,No relation,0,2303
2168-6750,IEEE Transactions on Emerging Topics in Computing,No relation,1350,1950
2193-9616,In Silico Pharmacology,No relation,1350,3000
0254-8860,Indian Journal of Gastroenterology,Society,0,3000
2193-9772,Integrating Materials and Manufacturing Innovation,Society,1500,3000
1735-1472,International Journal of Environmental Science and Technology,Institutional,200,3000
1878-450X,International Journal of Gastronomy and Food Science,Institutional,0,3000
0731-1265,International Journal of Legal Information,No relation,0,2980
1477-3880,International Review of Economics Education,Institutional,0,1100
1735-1979,Iranian Journal of Environmental Health Science and Engineering,Society,859,3000
1026-1265,Iranian Polymer Journal (English Edition),Institutional,0,3000
1214-021X,Journal of Applied Biomedicine,Institutional,0,3000
1755-5345,Journal of Choice Modelling,No relation,0,1800
2251-6581,Journal of Diabetes & Metabolic Disorders,Institutional,735,3000
2052-336X,Journal of Environmental Health Science and Engineering,Society,1045,3000
1402-9251,Journal of Nonlinear Mathematical Physics,No relation,0,750
0972-978X,Journal of Orthopaedics,Society,0,3000
1703-289X,Journal of Religion and Popular Culture,Institutional,0,3000
2210-4690,Journal of Remanufacturing,No relation,1085,3000
1678-5878,Journal of the Brazilian Society of Mechanical Sciences and Engineering,Society,0,3000
1735-207X,Journal of the Iranian Chemical Society,Society,0,3000
2212-9790,Maritime Studies,Institutional,1085,3000
1369-7021,Materials Today,No relation,3000,3300
0210-5691,Medicina Intensiva,Society,0,1500
2214-5400,Meta Gene,No relation,1500,1500
0899-6180,Missouri Journal of Mathematical Sciences,Institutional,150,150
0027-7630,Nagoya Mathematical Journal,Institutional,0,2835
1519-566X,Neotropical Entomology,Society,0,3000
1130-1473,Neurocirugia,Society,0,3000
1734-1140,Pharmacological Reports,Institutional,0,1500
2212-6864,Physics of the Dark Universe,No relation,2000,1000
2352-4073,Plant Gene,No relation,1500,1500
2363-9555,Research in Number Theory,No relation,1085,3000
2197-9847,Research in the Mathematical Sciences,No relation,980,3000
1806-9959,Revista Brasileira de Botanica,Society,0,3000
0036-9330,Scottish Medical Journal,Institutional,0,3000
1838-0743,Settler Colonial Studies,Institutional,0,2950
1933-5415,Social Sudies Research and Practice,No relation,0,2350
1948-822X,Journal of the Society for Social Work and Research,Society,0,2500
2214-9937,Sustainable Materials and Technologies,No relation,1100,2200
1434-4599,The International Journal of Transgenderism,No relation,0,2950
1982-5676,Tropical Plant Pathology,Society,0,3000
1303-829X,Turk Biyokimya Dergisi,Society,120,2000
1995-5855,Vienna Journal on International Constitutional Law,No relation,0,2000
1672-1977,Zhong xi yi jie he xue bao = Journal of Chinese integrative medicine,Society,0,1800
1309-1042,Atmospheric Pollution Research,Institutional,0,1500
2198-3534,Bandung: Journal of the Global South,No relation,980,2395
2213-5383,Journal of Cancer Policy,No relation,1650,1600
1475-7516,Journal of Cosmology and Astroparticle Physics,Institutional,0,2700
1940-087X,Journal of Visualized Experiments,No relation,0,4200
1349-0540,Polymer Journal,Society,0,3300
1614-7065,Chinese Journal of Chemistry,Institutional,0,3000
1001-0602,Cell Research,Institutional,0,3300
1745-7254,Acta Pharmacologica Sinica,Institutional,0,3300
