issn,journal_title,issn_cr
2190-5738,3 Biotech,2190-5738
2190-5738,3 Biotech,2190-572X
1012-8255,Academia Revista Latinoamericana de Administración,1012-8255
1895-7455,Acta Geophysica,1895-7455
1895-7455,Acta Geophysica,1895-6572
0210-4806,Actas Urológicas Españolas,0210-4806
1896-1126,Advances in Medical Sciences,1896-1126
1896-1126,Advances in Medical Sciences,1898-4002
1872-5457,African Diaspora,1872-5465
1872-5457,African Diaspora,1872-5457
1472-2747,Algebraic & Geometric Topology,1472-2747
1472-2747,Algebraic & Geometric Topology,1472-2739
0002-7014,Ameghiniana,0002-7014
0002-7014,Ameghiniana,1851-8044
2008-8752,Annals of Functional Analysis,2008-8752
0003-486X,Annals of Mathematics,0003-486X
0914-7187,Annals of Nuclear Medicine,1864-6433
0914-7187,Annals of Nuclear Medicine,0914-7187
0003-6862,Applied Entomology and Zoology,1347-605X
0003-6862,Applied Entomology and Zoology,0003-6862
2190-5517,Applied Nanoscience,2190-5517
2190-5517,Applied Nanoscience,2190-5509
1319-8025,Arabian Journal for Science and Engineering,2191-4281
1319-8025,Arabian Journal for Science and Engineering,1319-8025
0253-6269,Archives of Pharmacal Research,1976-3786
0253-6269,Archives of Pharmacal Research,0253-6269
0365-6691,Archivos de la Sociedad Española de Oftalmología,0365-6691
1566-5399,Ars Disputandi,1566-5399
0311-6999,The Australian Educational Researcher,2210-5328
0311-6999,The Australian Educational Researcher,0311-6999
1735-8787,Banach Journal of Mathematical Analysis,1735-8787
1559-4106,Biointerphases,1934-8630
1559-4106,Biointerphases,1559-4106
0791-7945,Biology & Environment: Proceedings of the Royal Irish Academy,0791-7945
0791-7945,Biology & Environment: Proceedings of the Royal Irish Academy,2009-003X
0103-9733,Brazilian Journal of Physics,0103-9733
0103-9733,Brazilian Journal of Physics,1678-4448
0253-2964,Bulletin of the Korean Chemical Society,0253-2964
0846-5371,Canadian Association of Radiologists Journal,0846-5371
0823-2105,Canadian Bulletin of Medical History,2371-0179
0823-2105,Canadian Bulletin of Medical History,0823-2105
1499-2671,Canadian Journal of Diabetes,1499-2671
0706-7437,The Canadian Journal of Psychiatry,1497-0015
0706-7437,The Canadian Journal of Psychiatry,0706-7437
2213-0896,Cancer Treatment Communications,2213-0896
0577-9073,Chinese Journal of Physics,0577-9073
1861-9541,Chinese Science Bulletin,1861-9541
1861-9541,Chinese Science Bulletin,1001-6538
2215-0382,Colloid and Interface Science Communications,2215-0382
1807-0302,Computational and Applied Mathematics,1807-0302
1807-0302,Computational and Applied Mathematics,0101-8205
2352-2143,Computational Condensed Matter,2352-2143
1609-4840,Computational Methods in Applied Mathematics,1609-9389
1609-4840,Computational Methods in Applied Mathematics,1609-4840
2330-1392,Contention,2572-7184
2330-1392,Contention,2330-1392
1467-3037,Current Issues in Molecular Biology,1467-3037
2008-2231,DARU Journal of Pharmaceutical Sciences,2008-2231
0251-3625,disP - The Planning Review,2166-8604
0251-3625,disP - The Planning Review,0251-3625
1548-159X,Dynamics of Partial Differential Equations,2163-7873
1548-159X,Dynamics of Partial Differential Equations,1548-159X
1618-7229,e-Polymers,2197-4586
1618-7229,e-Polymers,1618-7229
0313-5926,Economic Analysis and Policy,0313-5926
1876-6102,Energy Procedia,1876-6102
1175-8708,English Teaching: Practice & Critique,1175-8708
2215-1532,"Environmental Nanotechnology, Monitoring & Management",2215-1532
1878-5085,EPMA Journal,1878-5085
1878-5085,EPMA Journal,1878-5077
1733-8387,Geochronometria,1897-1695
1733-8387,Geochronometria,1733-8387
1364-0380,Geometry & Topology,1465-3060
1364-0380,Geometry & Topology,1364-0380
0975-1432,Global Journal of Enterprise Information System,0975-153X
0975-1432,Global Journal of Enterprise Information System,0975-1432
2190-7579,Gold Bulletin,2190-7579
2190-7579,Gold Bulletin,0017-1557
2190-7579,Gold Bulletin,2364-821X
2047-2501,Health Information Science and Systems,2047-2501
1520-4383,Hematology,1520-4391
1520-4383,Hematology,1520-4383
1532-0073,"Homology, Homotopy and Applications",1532-0081
1532-0073,"Homology, Homotopy and Applications",1532-0073
1051-1482,Housing Policy Debate,2152-050X
1051-1482,Housing Policy Debate,1051-1482
1210-3055,Human Affairs,1337-401X
1210-3055,Human Affairs,1210-3055
0916-9636,Hypertension Research,1348-4214
0916-9636,Hypertension Research,0916-9636
0018-8646,IBM Journal of Research and Development,0018-8646
0018-8670,IBM Systems Journal,0018-8670
2168-6750,IEEE Transactions on Emerging Topics in Computing,2168-6750
2168-6750,IEEE Transactions on Emerging Topics in Computing,2376-4562
0377-2063,IETE Journal of Research,0377-2063
0377-2063,IETE Journal of Research,0974-780X
0256-4602,IETE Technical Review,0256-4602
0256-4602,IETE Technical Review,0974-5971
2193-9616,In Silico Pharmacology,2193-9616
0970-1915,Indian Journal of Clinical Biochemistry,0974-0422
0970-1915,Indian Journal of Clinical Biochemistry,0970-1915
0254-8860,Indian Journal of Gastroenterology,0254-8860
0254-8860,Indian Journal of Gastroenterology,0975-0711
0973-0508,The Indian Journal of Neurotrauma,0973-0508
0973-0508,The Indian Journal of Neurotrauma,2213-3739
0019-5456,The Indian Journal of Pediatrics,0973-7693
0019-5456,The Indian Journal of Pediatrics,0019-5456
2193-9772,Integrating Materials and Manufacturing Innovation,2193-9772
2193-9772,Integrating Materials and Manufacturing Innovation,2193-9764
2233-7849,International Journal of Bio-Science and Bio-Technology,2233-7849
1735-1472,International Journal of Environmental Science and Technology,1735-2630
1735-1472,International Journal of Environmental Science and Technology,1735-1472
1878-450X,International Journal of Gastronomy and Food Science,1878-450X
0731-1265,International Journal of Legal Information,2331-4117
0731-1265,International Journal of Legal Information,0731-1265
1735-6814,International Journal of Plant Production,1735-8043
1735-6814,International Journal of Plant Production,1735-6814
1738-9976,International Journal of Security and Its Applications,1738-9976
1738-9984,International Journal of Software Engineering and Its Applications,1738-9984
1477-3880,International Review of Economics Education,1477-3880
1029-3523,Investment Analysts Journal,2077-0227
1029-3523,Investment Analysts Journal,1029-3523
1026-1265,Iranian Polymer Journal,1735-5265
1026-1265,Iranian Polymer Journal,1026-1265
2214-1677,JCRS Online Case Reports,2214-1677
1214-021X,Journal of Applied Biomedicine,1214-021X
1234-1983,Journal of Applied Genetics,2190-3883
1234-1983,Journal of Applied Genetics,1234-1983
2251-1717,Journal of Astronomical Instrumentation,2251-1725
2251-1717,Journal of Astronomical Instrumentation,2251-1717
1755-5345,Journal of Choice Modelling,1755-5345
1550-3984,International Journal of Construction Education and Research,1557-8771
1550-3984,International Journal of Construction Education and Research,1550-3984
2251-6581,Journal of Diabetes & Metabolic Disorders,2251-6581
2052-336X,Journal of Environmental Health Science and Engineering,2052-336X
1473-8376,"Journal of Hospitality, Leisure, Sport & Tourism Education",1473-8376
1525-2019,Journal of Interactive Advertising,1525-2019
