Rank,Full Journal Title,ISSN
1,CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235
2,NEW ENGLAND JOURNAL OF MEDICINE,0028-4793
3,LANCET,0140-6736
4,CHEMICAL REVIEWS,0009-2665
5,Nature Reviews Materials,2058-8437
6,NATURE REVIEWS DRUG DISCOVERY,1474-1776
7,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484
8,Nature Energy,2058-7546
9,NATURE REVIEWS CANCER,1474-175X
10,NATURE REVIEWS IMMUNOLOGY,1474-1733
11,NATURE,0028-0836
12,NATURE REVIEWS GENETICS,1471-0056
13,SCIENCE,0036-8075
14,CHEMICAL SOCIETY REVIEWS,0306-0012
15,NATURE MATERIALS,1476-1122
16,Nature Nanotechnology,1748-3387
17,LANCET ONCOLOGY,1470-2045
18,REVIEWS OF MODERN PHYSICS,0034-6861
19,NATURE BIOTECHNOLOGY,1087-0156
20,NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072
21,NATURE REVIEWS NEUROSCIENCE,1471-003X
22,NATURE MEDICINE,1078-8956
23,Nature Photonics,1749-4885
24,NATURE REVIEWS MICROBIOLOGY,1740-1526
25,CELL,0092-8674
26,ADVANCES IN PHYSICS,0001-8732
27,Energy & Environmental Science,1754-5692
28,World Psychiatry,2051-5545
28,World Psychiatry,2051-5545
30,LANCET NEUROLOGY,1474-4422
31,NATURE GENETICS,1061-4036
32,NATURE METHODS,1548-7091
33,PSYCHOLOGICAL INQUIRY,1047-840X
34,JOURNAL OF CLINICAL ONCOLOGY,0732-183X
35,Nature Chemistry,1755-4330
36,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285
37,LANCET INFECTIOUS DISEASES,1473-3099
38,Annual Review of Astronomy and Astrophysics,0066-4146
39,Nature Reviews Clinical Oncology,1759-4774
40,PROGRESS IN POLYMER SCIENCE,0079-6700
41,Materials Today,1369-7021
42,MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X
43,Cancer Discovery,2159-8274
44,PHYSIOLOGICAL REVIEWS,0031-9333
45,PROGRESS IN MATERIALS SCIENCE,0079-6425
46,BMJ-British Medical Journal,1756-1833
47,EUROPEAN HEART JOURNAL,0195-668X
48,Living Reviews in Relativity,1433-8351
49,Cell Stem Cell,1934-5909
50,CANCER CELL,1535-6108
51,Annual Review of Psychology,0066-4308
51,Annual Review of Psychology,0066-4308
53,Journal of Statistical Software,1548-7660
54,Nature Physics,1745-2473
55,Annual Review of Immunology,0732-0582
56,ADVANCED MATERIALS,0935-9648
57,Advanced Energy Materials,1614-6832
58,Annual Review of Condensed Matter Physics,1947-5454
59,NATURE IMMUNOLOGY,1529-2908
60,Lancet Respiratory Medicine,2213-2600
61,Advances in Optics and Photonics,1943-8206
61,Psychological Science in the Public Interest,1529-1006
63,ACCOUNTS OF CHEMICAL RESEARCH,0001-4842
64,JAMA Oncology,2374-2437
65,GASTROENTEROLOGY,0016-5085
66,CLINICAL MICROBIOLOGY REVIEWS,0893-8512
67,Cell Metabolism,1550-4131
68,Nature Reviews Endocrinology,1759-5029
69,IEEE Communications Surveys and Tutorials,1553-877X
70,Annual Review of Biochemistry,0066-4154
71,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573
72,JAMA Internal Medicine,2168-6106
73,NATURE NEUROSCIENCE,1097-6256
74,Nature Reviews Neurology,1759-4758
75,IMMUNITY,1074-7613
76,ANNALS OF INTERNAL MEDICINE,0003-4819
77,Lancet Diabetes & Endocrinology,2213-8587
78,Nature Climate Change,1758-678X
78,Nature Climate Change,1758-678X
80,NATURE CELL BIOLOGY,1465-7392
81,PHARMACOLOGICAL REVIEWS,0031-6997
82,CIRCULATION,0009-7322
83,Annual Review of Plant Biology,1543-5008
84,Lancet Global Health,2214-109X
84,Lancet Global Health,2214-109X
86,TRENDS IN CELL BIOLOGY,0962-8924
87,Cell Host & Microbe,1931-3128
88,SURFACE SCIENCE REPORTS,0167-5729
89,Nano Today,1748-0132
90,EUROPEAN UROLOGY,0302-2838
91,Nature Reviews Gastroenterology & Hepatology,1759-5045
92,GUT,0017-5749
93,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097
94,Science Translational Medicine,1946-6234
95,JAMA Psychiatry,2168-622X
95,JAMA Psychiatry,2168-622X
97,Industrial and Organizational Psychology-Perspectives on Science and Practice,1754-9426
98,Nature Reviews Disease Primers,2056-676X
99,Annual Review of Pathology-Mechanisms of Disease,1553-4006
100,TRENDS IN ECOLOGY & EVOLUTION,0169-5347
101,ACTA NEUROPATHOLOGICA,0001-6322
102,Annual Review of Materials Research,1531-7331
103,TRENDS IN BIOCHEMICAL SCIENCES,0968-0004
104,Nature Reviews Rheumatology,1759-4790
105,TRENDS IN COGNITIVE SCIENCES,1364-6613
105,TRENDS IN COGNITIVE SCIENCES,1364-6613
107,ENDOCRINE REVIEWS,0163-769X
108,CELL RESEARCH,1001-0602
109,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,1389-5567
110,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X
111,Lancet Psychiatry,2215-0374
111,Lancet Psychiatry,2215-0374
113,CIRCULATION RESEARCH,0009-7330
114,Nature Reviews Cardiology,1759-5002
115,BLOOD,0006-4971
116,BEHAVIORAL AND BRAIN SCIENCES,0140-525X
116,BEHAVIORAL AND BRAIN SCIENCES,0140-525X
118,JOURNAL OF HEPATOLOGY,0168-8278
119,INTENSIVE CARE MEDICINE,0342-4642
120,Annual Review of Medicine,0066-4219
121,Annual Review of Fluid Mechanics,0066-4189
122,Annual Review of Neuroscience,0147-006X
123,COORDINATION CHEMISTRY REVIEWS,0010-8545
124,Nature Geoscience,1752-0894
125,Physical Review X,2160-3308
126,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,0002-7863
127,Annual Review of Physiology,0066-4278
128,NEURON,0896-6273
129,REPORTS ON PROGRESS IN PHYSICS,0034-4885
130,MOLECULAR CELL,1097-2765
131,TRENDS IN IMMUNOLOGY,1471-4906
132,Nature Microbiology,2058-5276
133,PROGRESS IN NEUROBIOLOGY,0301-0082
134,Chem,2451-9294
135,Nature Reviews Nephrology,1759-5061
136,HEPATOLOGY,0270-9139
137,FUNGAL DIVERSITY,1560-2745
138,ANNALS OF ONCOLOGY,0923-7534
139,Annual Review of Entomology,0066-4170
140,Nature Chemical Biology,1552-4450
