issn,issued_year,n,year_founded,year_reverse_flipped,journal_name,publisher,lag,lags,pct_change
0003-486X,2006,52,1884,2008,Annals of Mathematics,Department of Mathematics at  Princeton University  with the cooperation of the Institute for Advanced Study,-2,NA,0
0003-486X,2007,46,1884,2008,Annals of Mathematics,Department of Mathematics at  Princeton University  with the cooperation of the Institute for Advanced Study,-1,52,-0.11538461538461539
0003-486X,2008,50,1884,2008,Annals of Mathematics,Department of Mathematics at  Princeton University  with the cooperation of the Institute for Advanced Study,0,46,0.08695652173913043
0003-486X,2009,65,1884,2008,Annals of Mathematics,Department of Mathematics at  Princeton University  with the cooperation of the Institute for Advanced Study,1,50,0.3
0003-486X,2010,98,1884,2008,Annals of Mathematics,Department of Mathematics at  Princeton University  with the cooperation of the Institute for Advanced Study,2,65,0.5076923076923077
0003-6862,2009,93,1966,2011,Applied Entomology and Zoology,Springer Nature,-2,NA,0
0003-6862,2010,109,1966,2011,Applied Entomology and Zoology,Springer Nature,-1,93,0.17204301075268819
0003-6862,2011,69,1966,2011,Applied Entomology and Zoology,Springer Nature,0,109,-0.3669724770642202
0003-6862,2012,66,1966,2011,Applied Entomology and Zoology,Springer Nature,1,69,-0.043478260869565216
0003-6862,2013,85,1966,2011,Applied Entomology and Zoology,Springer Nature,2,66,0.2878787878787879
0018-8646,2008,61,1957,2010,IBM Journal of Research and Development,IEEE,-2,NA,0
0018-8646,2009,81,1957,2010,IBM Journal of Research and Development,IEEE,-1,61,0.32786885245901637
0018-8646,2010,78,1957,2010,IBM Journal of Research and Development,IEEE,0,81,-0.037037037037037035
0018-8646,2011,85,1957,2010,IBM Journal of Research and Development,IEEE,1,78,0.08974358974358974
0018-8646,2012,73,1957,2010,IBM Journal of Research and Development,IEEE,2,85,-0.1411764705882353
0019-5456,2009,298,1934,2011,Indian Journal of Pediatrics,Springer Nature,-2,NA,0
0019-5456,2010,347,1934,2011,Indian Journal of Pediatrics,Springer Nature,-1,298,0.1644295302013423
0019-5456,2011,326,1934,2011,Indian Journal of Pediatrics,Springer Nature,0,347,-0.06051873198847262
0019-5456,2012,291,1934,2011,Indian Journal of Pediatrics,Springer Nature,1,326,-0.10736196319018405
0019-5456,2013,364,1934,2011,Indian Journal of Pediatrics,Springer Nature,2,291,0.2508591065292096
0022-3131,2010,274,1964,2012,Journal of Nuclear Science and Technology,Taylor & Francis,-2,NA,0
0022-3131,2011,333,1964,2012,Journal of Nuclear Science and Technology,Taylor & Francis,-1,274,0.21532846715328466
0022-3131,2012,118,1964,2012,Journal of Nuclear Science and Technology,Taylor & Francis,0,333,-0.6456456456456456
0022-3131,2013,148,1964,2012,Journal of Nuclear Science and Technology,Taylor & Francis,1,118,0.2542372881355932
0022-3131,2014,192,1964,2012,Journal of Nuclear Science and Technology,Taylor & Francis,2,148,0.2972972972972973
0025-7273,2010,132,1957,2012,Medical History,Cambridge University Press,-2,NA,0
0025-7273,2011,143,1957,2012,Medical History,Cambridge University Press,-1,132,0.08333333333333333
0025-7273,2012,96,1957,2012,Medical History,Cambridge University Press,0,143,-0.32867132867132864
0025-7273,2013,102,1957,2012,Medical History,Cambridge University Press,1,96,0.0625
0025-7273,2014,76,1957,2012,Medical History,Cambridge University Press,2,102,-0.2549019607843137
0027-7630,2008,27,1950,2010,Nagoya Mathematical Journal,Duke University Press,-2,NA,0
0027-7630,2009,27,1950,2010,Nagoya Mathematical Journal,Duke University Press,-1,27,0
0027-7630,2010,55,1950,2010,Nagoya Mathematical Journal,Duke University Press,0,27,1.037037037037037
0027-7630,2011,52,1950,2010,Nagoya Mathematical Journal,Duke University Press,1,55,-0.05454545454545454
0027-7630,2012,39,1950,2010,Nagoya Mathematical Journal,Duke University Press,2,52,-0.25
0028-3843,2012,89,1967,2014,Neurologia i Neurochirurgia Polska,Elsevier,-2,NA,0
0028-3843,2013,85,1967,2014,Neurologia i Neurochirurgia Polska,Elsevier,-1,89,-0.0449438202247191
0028-3843,2014,83,1967,2014,Neurologia i Neurochirurgia Polska,Elsevier,0,85,-0.023529411764705882
0028-3843,2015,86,1967,2014,Neurologia i Neurochirurgia Polska,Elsevier,1,83,0.03614457831325301
0028-3843,2016,98,1967,2014,Neurologia i Neurochirurgia Polska,Elsevier,2,86,0.13953488372093023
0035-8835,2008,125,2003,2010,Journal of the Royal College of Surgeons of Edinburgh,Elsevier,-2,NA,0
0035-8835,2009,125,2003,2010,Journal of the Royal College of Surgeons of Edinburgh,Elsevier,-1,125,0
0035-8835,2010,98,2003,2010,Journal of the Royal College of Surgeons of Edinburgh,Elsevier,0,125,-0.216
0035-8835,2011,110,2003,2010,Journal of the Royal College of Surgeons of Edinburgh,Elsevier,1,98,0.12244897959183673
0035-8835,2012,86,2003,2010,Journal of the Royal College of Surgeons of Edinburgh,Elsevier,2,110,-0.21818181818181817
0036-9330,2009,99,1956,2011,Scottish Medical Journal,Royal Society of Medicine Press,-2,NA,0
0036-9330,2010,96,1956,2011,Scottish Medical Journal,Royal Society of Medicine Press,-1,99,-0.030303030303030304
0036-9330,2011,107,1956,2011,Scottish Medical Journal,Royal Society of Medicine Press,0,96,0.11458333333333333
0036-9330,2012,82,1956,2011,Scottish Medical Journal,Royal Society of Medicine Press,1,107,-0.2336448598130841
0036-9330,2013,101,1956,2011,Scottish Medical Journal,Royal Society of Medicine Press,2,82,0.23170731707317074
0103-9733,2009,122,1971,2011,Brazilian Journal of Physics,Springer Nature,-2,NA,0
0103-9733,2010,70,1971,2011,Brazilian Journal of Physics,Springer Nature,-1,122,-0.4262295081967213
0103-9733,2011,54,1971,2011,Brazilian Journal of Physics,Springer Nature,0,70,-0.22857142857142856
0103-9733,2012,54,1971,2011,Brazilian Journal of Physics,Springer Nature,1,54,0
0103-9733,2013,62,1971,2011,Brazilian Journal of Physics,Springer Nature,2,54,0.14814814814814814
0210-4806,2010,486,1977,2012,Actas Urologicas Espanolas,Elsevier,-2,NA,0
0210-4806,2011,236,1977,2012,Actas Urologicas Espanolas,Elsevier,-1,486,-0.51440329218107
0210-4806,2012,118,1977,2012,Actas Urologicas Espanolas,Elsevier,0,236,-0.5
0210-4806,2013,107,1977,2012,Actas Urologicas Espanolas,Elsevier,1,118,-0.09322033898305085
0210-4806,2014,115,1977,2012,Actas Urologicas Espanolas,Elsevier,2,107,0.07476635514018691
0210-5691,2011,149,1977,2013,Medicina Intensiva,Elsevier,-2,NA,0
0210-5691,2012,143,1977,2013,Medicina Intensiva,Elsevier,-1,149,-0.040268456375838924
0210-5691,2013,112,1977,2013,Medicina Intensiva,Elsevier,0,143,-0.21678321678321677
0210-5691,2014,113,1977,2013,Medicina Intensiva,Elsevier,1,112,0.008928571428571428
0210-5691,2015,115,1977,2013,Medicina Intensiva,Elsevier,2,113,0.017699115044247787
0251-3625,2007,28,1965,2009,DISP,"NSL - Netzwerk, Stadt und Landschaft",-2,NA,0
0251-3625,2008,27,1965,2009,DISP,"NSL - Netzwerk, Stadt und Landschaft",-1,28,-0.03571428571428571
0251-3625,2009,32,1965,2009,DISP,"NSL - Netzwerk, Stadt und Landschaft",0,27,0.18518518518518517
0251-3625,2010,53,1965,2009,DISP,"NSL - Netzwerk, Stadt und Landschaft",1,32,0.65625
0251-3625,2011,47,1965,2009,DISP,"NSL - Netzwerk, Stadt und Landschaft",2,53,-0.11320754716981132
0253-2964,2013,764,1980,2015,Bulletin of the Korean Chemical Society,Wiley,-2,NA,0
0253-2964,2014,687,1980,2015,Bulletin of the Korean Chemical Society,Wiley,-1,764,-0.10078534031413612
0253-2964,2015,454,1980,2015,Bulletin of the Korean Chemical Society,Wiley,0,687,-0.33915574963609896
0253-2964,2016,406,1980,2015,Bulletin of the Korean Chemical Society,Wiley,1,454,-0.10572687224669604
0253-2964,2017,314,1980,2015,Bulletin of the Korean Chemical Society,Wiley,2,406,-0.22660098522167488
0253-6269,2007,240,1978,2009,Archives of Pharmacal Research,Springer Nature,-2,NA,0
0253-6269,2008,243,1978,2009,Archives of Pharmacal Research,Springer Nature,-1,240,0.0125
0253-6269,2009,235,1978,2009,Archives of Pharmacal Research,Springer Nature,0,243,-0.03292181069958848
0253-6269,2010,255,1978,2009,Archives of Pharmacal Research,Springer Nature,1,235,0.0851063829787234
0253-6269,2011,262,1978,2009,Archives of Pharmacal Research,Springer Nature,2,255,0.027450980392156862
0256-4602,2012,53,1984,2014,IETE Technical Review,Taylor & Francis,-2,NA,0
0256-4602,2013,64,1984,2014,IETE Technical Review,Taylor & Francis,-1,53,0.20754716981132076
0256-4602,2014,61,1984,2014,IETE Technical Review,Taylor & Francis,0,64,-0.046875
0256-4602,2015,93,1984,2014,IETE Technical Review,Taylor & Francis,1,61,0.5245901639344263
0256-4602,2016,85,1984,2014,IETE Technical Review,Taylor & Francis,2,93,-0.08602150537634409
0289-0003,2003,188,1984,2005,Zoological Science,Zoological Society of Japan,-2,NA,0
0289-0003,2004,187,1984,2005,Zoological Science,Zoological Society of Japan,-1,188,-0.005319148936170213
0289-0003,2005,180,1984,2005,Zoological Science,Zoological Society of Japan,0,187,-0.0374331550802139
0289-0003,2006,152,1984,2005,Zoological Science,Zoological Society of Japan,1,180,-0.15555555555555556
0289-0003,2007,155,1984,2005,Zoological Science,Zoological Society of Japan,2,152,0.019736842105263157
0300-8932,2012,292,1948,2014,Revista Espanola de Cardiologia,Elsevier,-2,NA,0
0300-8932,2013,279,1948,2014,Revista Espanola de Cardiologia,Elsevier,-1,292,-0.04452054794520548
0300-8932,2014,308,1948,2014,Revista Espanola de Cardiologia,Elsevier,0,279,0.1039426523297491
0300-8932,2015,332,1948,2014,Revista Espanola de Cardiologia,Elsevier,1,308,0.07792207792207792
0300-8932,2016,363,1948,2014,Revista Espanola de Cardiologia,Elsevier,2,332,0.09337349397590361
0311-6999,2009,22,1974,2011,Australian Educational Researcher,Springer Nature,-2,NA,0
0311-6999,2010,30,1974,2011,Australian Educational Researcher,Springer Nature,-1,22,0.36363636363636365
0311-6999,2011,38,1974,2011,Australian Educational Researcher,Springer Nature,0,30,0.26666666666666666
0311-6999,2012,34,1974,2011,Australian Educational Researcher,Springer Nature,1,38,-0.10526315789473684
0311-6999,2013,56,1974,2011,Australian Educational Researcher,Springer Nature,2,34,0.6470588235294118
0313-5926,2012,24,1971,2014,Economic Analysis and Policy,Elsevier,-2,NA,0
0313-5926,2013,21,1971,2014,Economic Analysis and Policy,Elsevier,-1,24,-0.125
0313-5926,2014,42,1971,2014,Economic Analysis and Policy,Elsevier,0,21,1
0313-5926,2015,41,1971,2014,Economic Analysis and Policy,Elsevier,1,42,-0.023809523809523808
0313-5926,2016,49,1971,2014,Economic Analysis and Policy,Elsevier,2,41,0.1951219512195122
0365-6691,2011,212,1926,2013,Archivos de la Sociedad Espanola de Oftalmologia,Elsevier,-2,NA,0
0365-6691,2012,146,1926,2013,Archivos de la Sociedad Espanola de Oftalmologia,Elsevier,-1,212,-0.3113207547169811
0365-6691,2013,156,1926,2013,Archivos de la Sociedad Espanola de Oftalmologia,Elsevier,0,146,0.0684931506849315
0365-6691,2014,175,1926,2013,Archivos de la Sociedad Espanola de Oftalmologia,Elsevier,1,156,0.12179487179487179
0365-6691,2015,194,1926,2013,Archivos de la Sociedad Espanola de Oftalmologia,Elsevier,2,175,0.10857142857142857
0377-2063,2012,72,1955,2014,IETE Journal of Research,Taylor & Francis,-2,NA,0
0377-2063,2013,102,1955,2014,IETE Journal of Research,Taylor & Francis,-1,72,0.4166666666666667
0377-2063,2014,59,1955,2014,IETE Journal of Research,Taylor & Francis,0,102,-0.4215686274509804
0377-2063,2015,131,1955,2014,IETE Journal of Research,Taylor & Francis,1,59,1.2203389830508475
0377-2063,2016,69,1955,2014,IETE Journal of Research,Taylor & Francis,2,131,-0.4732824427480916
0385-5600,2006,115,1957,2008,Microbiology and Immunology,Wiley,-2,NA,0
0385-5600,2007,140,1957,2008,Microbiology and Immunology,Wiley,-1,115,0.21739130434782608
0385-5600,2008,88,1957,2008,Microbiology and Immunology,Wiley,0,140,-0.37142857142857144
0385-5600,2009,99,1957,2008,Microbiology and Immunology,Wiley,1,88,0.125
0385-5600,2010,111,1957,2008,Microbiology and Immunology,Wiley,2,99,0.12121212121212122
0706-7437,2013,135,1956,2015,Canadian Journal of Psychiatry,Sage,-2,NA,0
0706-7437,2014,120,1956,2015,Canadian Journal of Psychiatry,Sage,-1,135,-0.1111111111111111
0706-7437,2015,109,1956,2015,Canadian Journal of Psychiatry,Sage,0,120,-0.09166666666666666
0706-7437,2016,152,1956,2015,Canadian Journal of Psychiatry,Sage,1,109,0.3944954128440367
0706-7437,2017,119,1956,2015,Canadian Journal of Psychiatry,Sage,2,152,-0.21710526315789475
0791-7945,2007,18,1902,2009,Biology and Environment,Royal Irish Academy,-2,NA,0
0791-7945,2008,18,1902,2009,Biology and Environment,Royal Irish Academy,-1,18,0
0791-7945,2009,32,1902,2009,Biology and Environment,Royal Irish Academy,0,18,0.7777777777777778
0791-7945,2010,11,1902,2009,Biology and Environment,Royal Irish Academy,1,32,-0.65625
0791-7945,2011,26,1902,2009,Biology and Environment,Royal Irish Academy,2,11,1.3636363636363635
0823-2105,2014,53,1984,2016,Canadian bulletin of medical history = Bulletin canadien dhistoire de la medecine,University of Toronto Press,-2,NA,0
0823-2105,2015,48,1984,2016,Canadian bulletin of medical history = Bulletin canadien dhistoire de la medecine,University of Toronto Press,-1,53,-0.09433962264150944
0823-2105,2016,55,1984,2016,Canadian bulletin of medical history = Bulletin canadien dhistoire de la medecine,University of Toronto Press,0,48,0.14583333333333334
0823-2105,2017,66,1984,2016,Canadian bulletin of medical history = Bulletin canadien dhistoire de la medecine,University of Toronto Press,1,55,0.2
0823-2105,2018,51,1984,2016,Canadian bulletin of medical history = Bulletin canadien dhistoire de la medecine,University of Toronto Press,2,66,-0.22727272727272727
0914-7187,2006,117,1987,2008,Annals of Nuclear Medicine,Springer Nature,-2,NA,0
0914-7187,2007,90,1987,2008,Annals of Nuclear Medicine,Springer Nature,-1,117,-0.23076923076923078
0914-7187,2008,129,1987,2008,Annals of Nuclear Medicine,Springer Nature,0,90,0.43333333333333335
